Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude,nearest_station,اسم المحطة,geometry,neighborhood,English_name,Final Station,Path
,store,354.0,4.2,46.7166114,24.8074829,SABIC,سابك,POINT (46.7166114 24.8074829),حي الفلاح,Sicilia's Pizza Cuts,سابك,اركب المترو من المحطة الحالية، وأخرج عند محطة سابك.
,restaurant,9411.0,4.7,46.6440106,24.7265958,KACST,المدينة التقنية,POINT (46.6440106 24.7265958),حي الملك فيصل,fi glbak,المدينة التقنية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة المدينة التقنية.
مطاعم همسة مأرب,restaurant,4.0,5.0,46.7292041,24.5975131,Al Iman Hospital,مستشفى الايمان,POINT (46.7292041 24.5975131),حي منفوحة,,,
شققه اكنان,restaurant,1.0,5.0,46.6332642,24.8162838,Dr. Sulaiman Al Habib,د.سليمان الحبيب,POINT (46.6332642 24.8162838),حي الصحافة,,د.سليمان الحبيب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة د.سليمان الحبيب.
مطعم على الذوق لتقديم الوجبات,restaurant,29.0,3.8,46.646873,24.597228,Aishah bint Abi Bakr st.,شارع عائشة بنت ابي بكر,POINT (46.646873 24.597228),حي البديعة,,,
لقيمات ترف,store,150.0,4.0,46.7855747,24.7502817,Al Andalus,الأندلس,POINT (46.7855747 24.7502817),حي المنار,,الأندلس,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الأندلس.
مطابخ نور حضرموت,restaurant,184.0,4.1,46.6117156,24.8324062,SAB,الأول,POINT (46.6117156 24.8324062),حي حطين,,,
,restaurant,5.0,4.0,46.7117965,24.6308337,Courts Complex,مجمع المحاكم,POINT (46.7117965 24.6308337),حي القرى,JU Sandwiches,مجمع المحاكم,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة مجمع المحاكم.
بوفية ذواق التيسير,restaurant,16.0,4.4,46.7153852,24.6441292,National Museum,المتحف الوطني,POINT (46.7153852 24.6441292),حي الفوطة,,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.
مطعم مود الشواية البخاري,restaurant,31.0,4.4,46.697606,24.6601578,Passport Department,الجوازات,POINT (46.697606 24.6601578),حي النموذجية,,الجوازات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الجوازات.
,restaurant,5153.0,3.6,46.6443952,24.6002206,Aishah bint Abi Bakr st.,شارع عائشة بنت ابي بكر,POINT (46.6443952 24.6002206),حي البديعة,Al Tazaj,,
,meal_delivery,629.0,3.7,46.8142878,24.7995225,Ishbiliyah,اشبيليا,POINT (46.8142878 24.7995225),حي القادسية,Maestro Pizza,اشبيليا,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة اشبيليا.
,restaurant,1380.0,3.9,46.7829601,24.7520245,Al Andalus,الأندلس,POINT (46.7829601 24.7520245),حي المنار,Falafel Pie,الأندلس,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الأندلس.
سياخ,restaurant,215.0,4.7,46.8172725,24.7952674,Ishbiliyah,اشبيليا,POINT (46.8172725 24.7952674),حي القادسية,,اشبيليا,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة اشبيليا.
,restaurant,50.0,4.3,46.7138987,24.69134,GOSI,التأمينات الاجتماعية,POINT (46.7138987 24.69134),حي الملك عبدالعزيز,Auntie Anne's,,
بروستد القنديل الذهبي,restaurant,503.0,4.5,46.6928002,24.8060447,Uthman Bin Affan Rd.,طريق عثمان بن عفان,POINT (46.6928002 24.8060447),جامعة الامام محمد بن سعود الاسلامية,Q6,طريق عثمان بن عفان,اركب المترو من المحطة الحالية، وأخرج عند محطة عثمان بن عفان.
,restaurant,1134.0,3.9,46.7301541,24.7873988,Granadia,غرناطيّة,POINT (46.7301541 24.7873988),حي الشهداء,Bait Al Khayam Restaurant,,
بوفية الصبيحي,restaurant,122.0,3.6,46.7278236,24.6336889,Al Margab,المرقب,POINT (46.7278236 24.6336889),حي العود,,المرقب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة المرقب.
مطاعم المحمدية,restaurant,766.0,4.4,46.6953784,24.7116271,As Sulimaniyah,السليمانية,POINT (46.6953784 24.7116271),مدينة الملك عبدالله للطاقة,,السليمانية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة السليمانية.
,restaurant,110.0,4.0,46.7765375,24.7739371,Al Hamra,الحمراء,POINT (46.7765375 24.7739371),حي الحمراء,Crepeaffaire,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.
شرار,restaurant,21.0,3.5,46.8362869,24.6995511,An Naseem,النسيم,POINT (46.8362869 24.6995511),حي السعادة,,النسيم,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة النسيم.
,restaurant,8.0,2.1,46.7767124,24.7739891,Al Hamra,الحمراء,POINT (46.7767124 24.7739891),حي الحمراء,Pastalita,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.
أضواء الخرطوم,restaurant,51.0,4.1,46.6809291,24.7188679,Al Urubah,العروبة,POINT (46.6809291 24.7188679),حي الجزيرة,,العروبة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العروبة.
بوفيه الهمام صديق اليافعي,restaurant,52.0,4.0,46.7314546,24.6334361,As Salhiyah,الصالحية,POINT (46.7314546 24.6334361),حي الصالحية,,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.
مطعم نور الكناري البخاري,restaurant,63.0,3.9,46.7700883,24.7855435,Al Yarmuk,اليرموك,POINT (46.7700883 24.7855435),حي اشبيلية,,اليرموك,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة اليرموك.
مهرجان كافد للطعام,restaurant,5.0,2.8,46.6412712,24.7658271,KAFD,المركز المالي,POINT (46.6412712 24.7658271),حي الغدير,,المركز المالي,اركب المترو من المحطة الحالية، وأخرج عند محطة المركز المالي.
سلوي بنت سالمين الجابري,restaurant,7.0,4.4,46.7378359,24.6370222,As Salhiyah,الصالحية,POINT (46.7378359 24.6370222),حي الصناعية,,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.
ملك المندي,restaurant,4.0,5.0,46.737465,24.6338626,As Salhiyah,الصالحية,POINT (46.737465 24.6338626),حي الصناعية,King Al Mandi,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.
مطعم بخاري,restaurant,571.0,3.8,46.7113912,24.6826594,GOSI,التأمينات الاجتماعية,POINT (46.7113912 24.6826594),حي الوزارات,,,
مذاق ورق عنب,restaurant,26.0,4.4,46.7751875,24.6858125,Al Rajhi Grand Mosque,جامع الراجحي,POINT (46.7751875 24.6858125),حي الربوة,Mzaq Warg Enab,جامع الراجحي,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة جامع الراجحي.
بوفية ريوق الموائد,restaurant,12.0,4.7,46.6619849,24.7782634,Ar Rabi,الربيع,POINT (46.6619849 24.7782634),حي النفل,,الربيع,اركب المترو من المحطة الحالية، وأخرج عند محطة الربيع.
مطعم ليالي السودان الرياض,restaurant,3108.0,4.4,46.7267505,24.6194686,Skirinah,سكيرينة,POINT (46.7267505 24.6194686),حي البطيحا,,سكيرينة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة سكيرينة.
